Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Irajá;2;1;0;50;900.0;460.0;0.0
Méier;3;1;0;65;1200.0;320.0;16.0
Jardim Carioca;2;1;0;55;1350.0;430.0;0.0
Padre Miguel;2;1;0;50;800.0;273.0;0.0
Barra da Tijuca;2;1;1;62;1900.0;1224.0;0.0
Rio Comprido;2;1;0;60;1300.0;700.0;15.0
Praça Seca;2;0;1;62;1100.0;440.0;0.0
Barra da Tijuca;2;1;0;52;2200.0;488.0;0.0
Praça Seca;2;1;0;50;750.0;260.0;13.0
São Cristóvão;2;0;0;50;1000.0;320.0;0.0
Vargem Pequena;3;0;0;53;1000.0;382.0;0.0
Copacabana;2;0;0;67;2000.0;537.0;101.0
Taquara;2;1;1;50;1000.0;450.0;18.0
São Francisco Xavier;2;1;0;66;850.0;401.0;0.0
Itanhangá;2;1;0;65;1100.0;550.0;34.0
Engenho de Dentro;2;1;0;51;1300.0;350.0;13.0
Tijuca;3;1;1;68;2200.0;972.0;95.0
Méier;3;0;0;59;1050.0;230.0;25.0
Taquara;2;1;0;55;1000.0;460.0;40.0
Barra da Tijuca;2;1;1;68;1650.0;1200.0;240.0
Praça Seca;2;1;1;64;1100.0;360.0;0.0
Cachambi;2;1;0;55;1400.0;550.0;30.0
Barra da Tijuca;2;1;1;63;1300.0;990.0;112.0
Méier;2;1;0;63;950.0;600.0;37.0
Tijuca;2;1;0;62;1400.0;640.0;202.0
Jacarepaguá;2;1;1;52;1400.0;552.0;20.0
Curicica;2;1;0;55;1200.0;500.0;40.0
Praça da Bandeira;2;0;0;66;1300.0;760.0;0.0
Barra da Tijuca;2;1;0;58;1200.0;700.0;70.0
Paciência;2;1;0;48;600.0;230.0;0.0
Jacarepaguá;2;1;1;65;1800.0;650.0;220.0
Recreio dos Bandeirantes;2;1;1;68;1900.0;850.0;870.0
Praça da Bandeira;2;0;0;57;1640.0;540.0;51.0
Tijuca;2;1;1;67;1800.0;1080.0;0.0
Irajá;2;1;0;45;1000.0;371.0;0.0
Bonsucesso;2;0;0;67;800.0;484.0;0.0
Del Castilho;2;1;0;67;1200.0;300.0;0.0
Andaraí;2;1;0;63;1100.0;450.0;24.0
Méier;2;1;0;60;1100.0;570.0;37.0
Todos os Santos;2;1;1;51;1250.0;440.0;14.0
Freguesia (Jacarepaguá);2;1;0;59;900.0;575.0;14.0
Cidade Nova;3;2;0;66;2200.0;558.0;48.0
Tanque;2;1;1;66;1200.0;450.0;64.0
Engenho Novo;2;0;0;65;990.0;590.0;0.0
Barra da Tijuca;2;1;1;65;1600.0;827.0;77.0
Penha;2;1;1;57;1200.0;496.0;0.0
Engenho Novo;3;1;0;55;1000.0;700.0;0.0
Flamengo;2;1;0;60;2340.0;760.0;104.0
Madureira;2;0;0;50;700.0;480.0;0.0
Méier;2;0;0;42;750.0;359.0;17.0
Grajaú;2;0;0;66;1350.0;540.0;0.0
Engenho de Dentro;3;1;1;60;1500.0;506.0;38.0
Engenho Novo;2;1;0;63;1200.0;499.0;0.0
Barra da Tijuca;2;1;1;68;2400.0;650.0;100.0
Engenho Novo;2;0;0;68;800.0;440.0;0.0
Jardim Botânico;2;0;0;50;2800.0;555.0;145.0
Jacarepaguá;2;1;1;67;2200.0;699.0;74.0
Botafogo;2;0;0;67;2300.0;600.0;97.0
Vila Isabel;2;0;0;56;1300.0;300.0;21.0
Vargem Pequena;2;1;1;57;1450.0;470.0;0.0
Copacabana;2;0;0;62;2200.0;883.0;96.0
Campo Grande;2;0;0;60;750.0;210.0;0.0
São Francisco Xavier;2;1;1;54;1000.0;540.0;0.0
Del Castilho;2;1;0;60;1200.0;500.0;25.0
Vila da Penha;2;0;0;60;950.0;30.0;0.0
Campo Grande;3;1;0;65;900.0;130.0;0.0
Vaz Lobo;2;0;0;60;680.0;198.0;0.0
Tijuca;2;1;0;65;1500.0;658.0;80.0
Campo Grande;2;1;1;60;800.0;180.0;0.0
Vila da Penha;2;0;0;52;1200.0;250.0;0.0
Bento Ribeiro;2;0;0;50;930.0;140.0;0.0
Engenho de Dentro;2;1;0;50;1100.0;240.0;13.0
Recreio dos Bandeirantes;2;1;1;66;1800.0;750.0;0.0
Todos os Santos;2;1;0;55;1100.0;260.0;0.0
Tijuca;2;1;0;56;1700.0;810.0;0.0
Tijuca;2;0;0;64;1600.0;446.0;47.0
Recreio dos Bandeirantes;2;1;1;69;1900.0;680.0;156.0
Engenho de Dentro;2;1;1;49;1300.0;697.0;0.0
Campo Grande;2;1;0;60;750.0;215.0;0.0
Cachambi;2;0;0;51;950.0;300.0;16.0
Cachambi;2;1;0;60;950.0;652.0;0.0
Campo Grande;2;0;0;66;950.0;75.0;0.0
Méier;2;1;0;66;1250.0;440.0;36.0
Taquara;2;1;1;68;1250.0;520.0;81.0
Camorim;2;1;1;67;1700.0;800.0;90.0
Copacabana;2;1;0;67;2400.0;1095.0;0.0
São Cristóvão;2;1;1;56;1500.0;580.0;0.0
Freguesia (Jacarepaguá);2;1;0;63;1300.0;545.0;0.0
Madureira;3;1;1;60;1450.0;372.0;0.0
Campo Grande;3;1;0;56;900.0;780.0;0.0
Flamengo;2;0;0;60;1900.0;1089.0;118.0
Humaitá;2;0;0;60;2500.0;650.0;99.0
Barra da Tijuca;2;1;0;58;1700.0;120.0;700.0
Barra da Tijuca;2;1;1;59;1700.0;650.0;52.0
Copacabana;2;0;0;60;2500.0;520.0;0.0
Andaraí;2;0;0;64;1600.0;270.0;47.0
Taquara;3;1;1;50;1400.0;400.0;17.0
Méier;2;1;0;65;1100.0;765.0;0.0
Pechincha;2;1;0;58;750.0;475.0;17.0
Campo Grande;3;1;0;65;900.0;130.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1700.0;733.0;137.0
Engenho de Dentro;2;1;0;65;1200.0;618.0;0.0
Méier;2;1;0;60;1200.0;700.0;30.0
Humaitá;2;1;0;62;2200.0;1060.0;132.0
Ilha do Governador;2;1;0;60;1000.0;396.0;21.0
Copacabana;2;0;0;55;2300.0;1232.0;0.0
Vargem Pequena;3;1;0;53;1200.0;340.0;0.0
Vila da Penha;2;0;0;55;1550.0;90.0;0.0
Flamengo;2;1;0;65;2699.0;660.0;98.0
Campo Grande;2;1;0;60;900.0;600.0;0.0
Freguesia (Jacarepaguá);2;0;0;60;1200.0;600.0;50.0
Barra da Tijuca;2;1;1;68;1500.0;1400.0;0.0
Praça Seca;2;1;1;58;1100.0;490.0;70.0
Barra da Tijuca;2;1;0;58;1600.0;728.0;100.0
Pavuna;2;1;0;40;750.0;100.0;0.0
Recreio dos Bandeirantes;2;1;1;65;2000.0;680.0;100.0
Campo Grande;2;1;0;65;800.0;330.0;0.0
Recreio dos Bandeirantes;2;1;1;50;1600.0;783.0;106.0
Bonsucesso;2;1;0;60;1300.0;200.0;0.0
Taquara;2;0;2;65;1100.0;30.0;0.0
Tijuca;2;1;0;68;1350.0;670.0;74.0
Jardim Sulacap;2;0;0;58;1000.0;366.0;0.0
Recreio dos Bandeirantes;2;1;1;64;1500.0;580.0;0.0
Vila da Penha;2;1;0;48;1000.0;250.0;0.0
Vila Isabel;2;1;0;60;1600.0;754.0;23.0
Recreio dos Bandeirantes;2;1;1;60;1700.0;490.0;0.0
Praça da Bandeira;2;0;0;57;1300.0;377.0;33.0
Pechincha;2;1;0;55;1150.0;630.0;10.0
Pechincha;2;1;0;66;1300.0;450.0;510.0
Rio Comprido;2;0;0;68;1000.0;580.0;15.0
Freguesia (Jacarepaguá);2;1;0;68;1200.0;582.0;62.0
Lapa;2;0;0;60;2400.0;700.0;0.0
Curicica;2;1;0;50;1200.0;400.0;0.0
Barra da Tijuca;2;1;0;51;1290.0;500.0;13.0
Centro;2;0;0;68;1700.0;283.0;12.0
Higienópolis;2;0;0;60;850.0;230.0;0.0
Tijuca;2;0;0;60;1450.0;510.0;0.0
Santa Teresa;2;0;1;65;2500.0;850.0;130.0
Engenho Novo;2;0;0;50;1200.0;411.0;7.0
Jacarepaguá;2;1;2;63;2000.0;690.0;0.0
Vila Isabel;2;1;0;57;1400.0;840.0;50.0
Barra da Tijuca;2;1;1;66;2200.0;1073.0;0.0
Inhaúma;2;1;0;60;750.0;250.0;0.0
Méier;2;1;1;69;1300.0;686.0;52.0
Pechincha;2;1;0;60;1150.0;640.0;0.0
Flamengo;2;0;0;54;2700.0;670.0;0.0
Tijuca;2;0;0;60;1500.0;300.0;25.0
Leme;2;0;0;62;2300.0;999.0;131.0
Barra da Tijuca;2;1;1;69;2800.0;1350.0;348.0
Campo Grande;2;1;0;43;900.0;220.0;0.0
Santa Teresa;2;0;0;65;1000.0;420.0;12.0
Todos os Santos;2;0;0;52;1100.0;130.0;0.0
Recreio dos Bandeirantes;2;1;1;67;1850.0;780.0;1200.0
Itanhangá;2;0;0;58;750.0;638.0;27.0
Taquara;2;1;0;55;850.0;550.0;20.0
Leblon;2;1;0;65;2500.0;620.0;117.0
Taquara;2;1;1;60;866.0;580.0;13.0
Vargem Pequena;2;1;2;68;1600.0;730.0;80.0
Barra da Tijuca;2;1;1;52;1300.0;750.0;102.0
Gamboa;2;0;0;35;850.0;90.0;0.0
Olaria;2;1;0;53;850.0;320.0;25.0
Tijuca;2;0;0;65;2400.0;506.0;0.0
Taquara;3;1;0;60;1100.0;441.0;345.0
Vila Isabel;2;1;1;65;1500.0;529.0;0.0
Recreio dos Bandeirantes;2;1;1;66;1950.0;790.0;108.0
Campo Grande;2;1;0;48;700.0;300.0;0.0
Botafogo;2;0;0;65;1890.0;590.0;76.0
Recreio dos Bandeirantes;2;1;1;63;1600.0;755.0;1010.0
Copacabana;2;1;0;60;2500.0;795.0;110.0
Del Castilho;2;0;0;53;890.0;280.0;0.0
Barra da Tijuca;2;1;0;60;1500.0;705.0;100.0
Jacarepaguá;2;1;0;54;800.0;300.0;0.0
Centro;2;1;0;64;1800.0;373.0;61.0
Praça da Bandeira;2;0;0;66;1600.0;330.0;46.0
Curicica;2;1;0;49;1000.0;400.0;0.0
Vila Isabel;2;0;0;59;1100.0;747.0;0.0
Vila Isabel;2;1;0;66;1500.0;200.0;0.0
Pechincha;2;1;1;69;1400.0;360.0;41.0
Barra da Tijuca;2;1;2;63;2400.0;1219.0;0.0
Tijuca;2;0;0;60;1800.0;442.0;20.0
Barra da Tijuca;2;1;1;68;1400.0;820.0;0.0
Taquara;2;1;1;51;1150.0;410.0;340.0
Barra da Tijuca;2;1;0;51;1800.0;385.0;20.0
Penha;2;1;1;55;1300.0;460.0;0.0
